"YEAR","AREA","/ITEMS","I530242_Number of general clinics by department (Respiratory surgery)[number of clinics]","Annotation"
"2011","Chiba-ken","","9",""
"2011","Tokyo-to","","24",""
"2011","Kanagawa-ken","","11",""
"2011","Niigata-ken","","0",""
"2011","Toyama-ken","","0",""
"2011","Ishikawa-ken","","1",""
"2011","Fukui-ken","","1",""
"2011","Yamanashi-ken","","1",""
"2011","Nagano-ken","","1",""
"2011","Gifu-ken","","2",""
"2011","Shizuoka-ken","","3",""
"2011","Aichi-ken","","5",""
"2011","Mie-ken","","3",""
"2011","Shiga-ken","","1",""
"2011","Kyoto-fu","","7",""
"2011","Osaka-fu","","6",""
"2011","Hyogo-ken","","2",""
"2011","Nara-ken","","1",""
"2011","Wakayama-ken","","0",""
"2011","Tottori-ken","","0",""
"2011","Shimane-ken","","0",""
"2011","Okayama-ken","","0",""
"2011","Hiroshima-ken","","5",""
"2011","Yamaguchi-ken","","3",""
"2011","Tokushima-ken","","2",""
"2011","Kagawa-ken","","3",""
"2011","Ehime-ken","","2",""
"2011","Kochi-ken","","0",""
"2011","Fukuoka-ken","","6",""
"2011","Saga-ken","","1",""
"2011","Nagasaki-ken","","6",""
"2011","Kumamoto-ken","","4",""
"2011","Oita-ken","","1",""
"2011","Miyazaki-ken","","3",""
"2011","Kagoshima-ken","","7",""
"2011","Okinawa-ken","","4",""
"2008","All Japan","","145",""
"2008","Hokkaido","","7",""
"2008","Aomori-ken","","1",""
"2008","Iwate-ken","","2",""
"2008","Miyagi-ken","","1",""
"2008","Akita-ken","","1",""
"2008","Yamagata-ken","","1",""
"2008","Fukushima-ken","","7",""
"2008","Ibaraki-ken","","3",""
"2008","Tochigi-ken","","0",""
"2008","Gumma-ken","","0",""
"2008","Saitama-ken","","9",""
"2008","Chiba-ken","","4",""
"2008","Tokyo-to","","16",""
"2008","Kanagawa-ken","","10",""
"2008","Niigata-ken","","1",""
"2008","Toyama-ken","","2",""
"2008","Ishikawa-ken","","2",""
"2008","Fukui-ken","","0",""
"2008","Yamanashi-ken","","0",""
"2008","Nagano-ken","","0",""
"2008","Gifu-ken","","1",""
"2008","Shizuoka-ken","","3",""
"2008","Aichi-ken","","4",""
"2008","Mie-ken","","3",""
"2008","Shiga-ken","","0",""
"2008","Kyoto-fu","","3",""
"2008","Osaka-fu","","8",""
"2008","Hyogo-ken","","3",""
"2008","Nara-ken","","0",""
"2008","Wakayama-ken","","3",""
"2008","Tottori-ken","","0",""
"2008","Shimane-ken","","1",""
"2008","Okayama-ken","","3",""
"2008","Hiroshima-ken","","4",""
"2008","Yamaguchi-ken","","4",""
"2008","Tokushima-ken","","2",""
"2008","Kagawa-ken","","1",""
"2008","Ehime-ken","","1",""
"2008","Kochi-ken","","1",""
"2008","Fukuoka-ken","","8",""
"2008","Saga-ken","","1",""
"2008","Nagasaki-ken","","7",""
"2008","Kumamoto-ken","","2",""
"2008","Oita-ken","","2",""
"2008","Miyazaki-ken","","3",""
"2008","Kagoshima-ken","","8",""
"2008","Okinawa-ken","","2",""
