"YEAR","AREA","/ITEMS","I530102_Number of general hospitals by department (Respiratory)[number of hospitals]","Annotation"
"2004","Chiba-ken","","83",""
"2004","Tokyo-to","","148",""
"2004","Kanagawa-ken","","108",""
"2004","Niigata-ken","","23",""
"2004","Toyama-ken","","17",""
"2004","Ishikawa-ken","","35",""
"2004","Fukui-ken","","37",""
"2004","Yamanashi-ken","","13",""
"2004","Nagano-ken","","40",""
"2004","Gifu-ken","","35",""
"2004","Shizuoka-ken","","47",""
"2004","Aichi-ken","","100",""
"2004","Mie-ken","","22",""
"2004","Shiga-ken","","25",""
"2004","Kyoto-fu","","71",""
"2004","Osaka-fu","","130",""
"2004","Hyogo-ken","","80",""
"2004","Nara-ken","","21",""
"2004","Wakayama-ken","","30",""
"2004","Tottori-ken","","8",""
"2004","Shimane-ken","","9",""
"2004","Okayama-ken","","43",""
"2004","Hiroshima-ken","","53",""
"2004","Yamaguchi-ken","","48",""
"2004","Tokushima-ken","","38",""
"2004","Kagawa-ken","","32",""
"2004","Ehime-ken","","36",""
"2004","Kochi-ken","","60",""
"2004","Fukuoka-ken","","151",""
"2004","Saga-ken","","38",""
"2004","Nagasaki-ken","","57",""
"2004","Kumamoto-ken","","71",""
"2004","Oita-ken","","58",""
"2004","Miyazaki-ken","","35",""
"2004","Kagoshima-ken","","63",""
"2004","Okinawa-ken","","37",""
"2003","All Japan","","2,405",""
"2003","Hokkaido","","140",""
"2003","Aomori-ken","","23",""
"2003","Iwate-ken","","26",""
"2003","Miyagi-ken","","34",""
"2003","Akita-ken","","25",""
"2003","Yamagata-ken","","14",""
"2003","Fukushima-ken","","53",""
"2003","Ibaraki-ken","","63",""
"2003","Tochigi-ken","","41",""
"2003","Gumma-ken","","36",""
"2003","Saitama-ken","","76",""
"2003","Chiba-ken","","84",""
"2003","Tokyo-to","","142",""
"2003","Kanagawa-ken","","107",""
"2003","Niigata-ken","","22",""
"2003","Toyama-ken","","17",""
"2003","Ishikawa-ken","","36",""
"2003","Fukui-ken","","36",""
"2003","Yamanashi-ken","","12",""
"2003","Nagano-ken","","40",""
"2003","Gifu-ken","","33",""
"2003","Shizuoka-ken","","47",""
"2003","Aichi-ken","","100",""
"2003","Mie-ken","","22",""
"2003","Shiga-ken","","24",""
"2003","Kyoto-fu","","71",""
"2003","Osaka-fu","","127",""
"2003","Hyogo-ken","","76",""
"2003","Nara-ken","","21",""
"2003","Wakayama-ken","","28",""
"2003","Tottori-ken","","8",""
"2003","Shimane-ken","","9",""
"2003","Okayama-ken","","41",""
"2003","Hiroshima-ken","","53",""
"2003","Yamaguchi-ken","","49",""
"2003","Tokushima-ken","","38",""
"2003","Kagawa-ken","","32",""
"2003","Ehime-ken","","37",""
"2003","Kochi-ken","","61",""
"2003","Fukuoka-ken","","149",""
"2003","Saga-ken","","35",""
"2003","Nagasaki-ken","","55",""
"2003","Kumamoto-ken","","70",""
"2003","Oita-ken","","58",""
"2003","Miyazaki-ken","","37",""
"2003","Kagoshima-ken","","60",""
"2003","Okinawa-ken","","37",""
"2002","All Japan","","2,381",""
"2002","Hokkaido","","134",""
"2002","Aomori-ken","","26",""
"2002","Iwate-ken","","27",""
"2002","Miyagi-ken","","33",""
"2002","Akita-ken","","26",""
"2002","Yamagata-ken","","12",""
"2002","Fukushima-ken","","50",""
"2002","Ibaraki-ken","","63",""
"2002","Tochigi-ken","","40",""
"2002","Gumma-ken","","34",""
"2002","Saitama-ken","","77",""
"2002","Chiba-ken","","81",""
"2002","Tokyo-to","","145",""
"2002","Kanagawa-ken","","107",""
"2002","Niigata-ken","","20",""
"2002","Toyama-ken","","16",""
"2002","Ishikawa-ken","","37",""
"2002","Fukui-ken","","36",""
"2002","Yamanashi-ken","","12",""
"2002","Nagano-ken","","40",""
"2002","Gifu-ken","","33",""
"2002","Shizuoka-ken","","47",""
"2002","Aichi-ken","","98",""
"2002","Mie-ken","","21",""
"2002","Shiga-ken","","23",""
"2002","Kyoto-fu","","68",""
"2002","Osaka-fu","","124",""
"2002","Hyogo-ken","","78",""
"2002","Nara-ken","","20",""
"2002","Wakayama-ken","","28",""
"2002","Tottori-ken","","9",""
"2002","Shimane-ken","","9",""
"2002","Okayama-ken","","41",""
"2002","Hiroshima-ken","","49",""
"2002","Yamaguchi-ken","","49",""
"2002","Tokushima-ken","","40",""
"2002","Kagawa-ken","","32",""
"2002","Ehime-ken","","37",""
"2002","Kochi-ken","","63",""
"2002","Fukuoka-ken","","149",""
"2002","Saga-ken","","32",""
"2002","Nagasaki-ken","","53",""
"2002","Kumamoto-ken","","74",""
"2002","Oita-ken","","57",""
"2002","Miyazaki-ken","","36",""
"2002","Kagoshima-ken","","60",""
"2002","Okinawa-ken","","35",""
"2001","All Japan","","2,313",""
"2001","Hokkaido","","133",""
"2001","Aomori-ken","","27",""
"2001","Iwate-ken","","26",""
"2001","Miyagi-ken","","34",""
"2001","Akita-ken","","24",""
"2001","Yamagata-ken","","9",""
"2001","Fukushima-ken","","49",""
"2001","Ibaraki-ken","","66",""
"2001","Tochigi-ken","","36",""
"2001","Gumma-ken","","32",""
"2001","Saitama-ken","","80",""
"2001","Chiba-ken","","82",""
"2001","Tokyo-to","","139",""
"2001","Kanagawa-ken","","101",""
"2001","Niigata-ken","","20",""
"2001","Toyama-ken","","16",""
"2001","Ishikawa-ken","","34",""
"2001","Fukui-ken","","39",""
"2001","Yamanashi-ken","","14",""
"2001","Nagano-ken","","38",""
"2001","Gifu-ken","","33",""
"2001","Shizuoka-ken","","45",""
"2001","Aichi-ken","","96",""
"2001","Mie-ken","","20",""
"2001","Shiga-ken","","19",""
"2001","Kyoto-fu","","67",""
"2001","Osaka-fu","","116",""
"2001","Hyogo-ken","","74",""
"2001","Nara-ken","","16",""
"2001","Wakayama-ken","","25",""
"2001","Tottori-ken","","4",""
"2001","Shimane-ken","","8",""
"2001","Okayama-ken","","38",""
"2001","Hiroshima-ken","","45",""
"2001","Yamaguchi-ken","","47",""
"2001","Tokushima-ken","","39",""
"2001","Kagawa-ken","","32",""
"2001","Ehime-ken","","34",""
"2001","Kochi-ken","","62",""
"2001","Fukuoka-ken","","150",""
"2001","Saga-ken","","30",""
"2001","Nagasaki-ken","","51",""
"2001","Kumamoto-ken","","78",""
"2001","Oita-ken","","56",""
"2001","Miyazaki-ken","","33",""
"2001","Kagoshima-ken","","63",""
"2001","Okinawa-ken","","33",""
"2000","All Japan","","2,300",""
"2000","Hokkaido","","130",""
"2000","Aomori-ken","","27",""
"2000","Iwate-ken","","26",""
"2000","Miyagi-ken","","34",""
"2000","Akita-ken","","24",""
"2000","Yamagata-ken","","10",""
"2000","Fukushima-ken","","50",""
"2000","Ibaraki-ken","","67",""
"2000","Tochigi-ken","","36",""
"2000","Gumma-ken","","32",""
"2000","Saitama-ken","","80",""
"2000","Chiba-ken","","84",""
"2000","Tokyo-to","","132",""
"2000","Kanagawa-ken","","97",""
"2000","Niigata-ken","","19",""
"2000","Toyama-ken","","16",""
"2000","Ishikawa-ken","","34",""
"2000","Fukui-ken","","39",""
"2000","Yamanashi-ken","","14",""
"2000","Nagano-ken","","37",""
"2000","Gifu-ken","","32",""
"2000","Shizuoka-ken","","41",""
"2000","Aichi-ken","","96",""
"2000","Mie-ken","","19",""
"2000","Shiga-ken","","19",""
"2000","Kyoto-fu","","68",""
"2000","Osaka-fu","","117",""
"2000","Hyogo-ken","","74",""
"2000","Nara-ken","","16",""
"2000","Wakayama-ken","","26",""
